LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,AQUIFER_TYPE,WLS_WTR_LEVEL,Broader_Classification_Soil,Broad_Soil_Type,SITE_TYPE,WLS_WTR_LEVEL_Categorized,Total Annual Ground Water Recharge,Broader_Classification_Lithology
13.26,93.01333,2021.0,8.07,481.0,0.0,165.0,32.0,47.0,1.0,125.0,24.0,16.0,44.0,2.0,0.34,Unconfined,5.58,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,186765.62,Mixed
12.83944,92.85333,2021.0,7.64,616.0,0.0,299.0,32.0,7.0,1.0,250.0,22.0,47.0,25.0,2.0,0.74,Semi-Confined,8.0,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,186765.62,Mixed
12.69944,92.88139,2021.0,8.07,516.0,0.0,262.0,14.0,3.0,0.0,225.0,22.0,41.0,5.0,0.0,0.26,Unconfined,2.29,Clayey,Clayey,Dug Well,Shallow,41648.09,Mixed
12.62583,92.92111,2021.0,8.03,427.0,0.0,171.0,25.0,37.0,0.0,175.0,16.0,33.0,13.0,1.0,0.19,Confined,6.71,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
12.04111,92.98083,2021.0,7.66,1076.0,0.0,299.0,138.0,91.0,5.0,280.0,80.0,19.0,107.0,8.0,0.73,Unconfined,3.47,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
12.00528,93.00694,2021.0,7.54,579.0,0.0,293.0,46.0,4.0,1.0,235.0,62.0,19.0,32.0,7.0,0.28,Unconfined,2.18,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Mixed
11.97472,93.00583,2021.0,7.48,895.0,0.0,439.0,71.0,0.0,1.0,285.0,78.0,22.0,87.0,3.0,0.39,Unconfined,3.23,Others,Others,Dug Well,Shallow,187340.94,Mixed
12.00028,92.97583,2021.0,7.58,446.0,0.0,134.0,28.0,63.0,0.0,195.0,60.0,11.0,3.0,3.0,0.17,Unconfined,3.5,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
11.84583,92.015,2021.0,7.55,673.0,0.0,293.0,74.0,21.0,1.0,240.0,64.0,19.0,49.0,2.0,0.08,Unconfined,4.1,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
13.31417,92.94111,2021.0,7.65,593.0,0.0,244.0,50.0,10.0,0.0,240.0,54.0,26.0,23.0,3.0,0.96,Unconfined,4.5,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,122407.34,Mixed
17.9083,82.1208,2021.0,6.8,410.0,0.0,171.0,25.0,8.0,41.0,180.0,38.0,21.0,13.0,2.0,0.401,Confined,40.02,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,187340.94,Mixed
17.8833,83.4333,2021.0,7.2,760.0,0.0,189.0,82.0,20.0,97.0,195.0,50.0,17.0,71.0,22.0,0.322,Unconfined,2.39,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
17.8833,83.4333,2021.0,7.3,2650.0,0.0,695.0,298.0,160.0,186.0,780.0,184.0,78.0,164.0,140.0,0.593,Confined,2.85,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
17.3819,82.7708,2021.0,7.21,2750.0,0.0,708.0,397.0,143.0,120.0,780.0,200.0,68.0,274.0,26.0,0.677,Unconfined,2.75,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
17.5083,82.6667,2021.0,7.69,1400.0,0.0,549.0,99.0,70.0,55.0,310.0,64.0,36.0,175.0,11.0,1.59,Unconfined,5.09,Loamy,Loamy,Dug Well,Shallow,41648.09,Mixed
17.6708,82.3625,2021.0,7.5,1150.0,0.0,476.0,71.0,45.0,53.0,390.0,104.0,32.0,62.0,23.0,0.509,Unconfined,2.28,Loamy,Loamy,Dug Well,Shallow,41648.09,Mixed
17.4583,82.85,2021.0,7.61,2140.0,0.0,610.0,298.0,80.0,23.0,580.0,56.0,107.0,219.0,8.0,0.533,Unconfined,1.33,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
17.7306,83.3433,2021.0,7.31,2740.0,0.0,952.0,269.0,135.0,24.0,540.0,56.0,97.0,334.0,68.0,0.688,Unconfined,2.08,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
17.7342,83.28,2021.0,7.7,1140.0,0.0,451.0,78.0,70.0,24.0,320.0,48.0,49.0,117.0,0.0,0.807,Unconfined,4.25,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Mixed
17.7153,83.3319,2021.0,7.28,690.0,0.0,214.0,71.0,35.0,18.0,205.0,42.0,24.0,60.0,0.0,0.338,Unconfined,0.96,Loamy,Loamy,Dug Well,Shallow,187340.94,Mixed
17.7617,83.2203,2021.0,7.6,800.0,0.0,281.0,71.0,36.0,17.0,250.0,46.0,33.0,64.0,2.0,0.594,Unconfined,1.38,Loamy,Loamy,Dug Well,Shallow,187340.94,Mixed
17.8919,83.3711,2021.0,7.4,350.0,0.0,165.0,14.0,13.0,5.0,105.0,28.0,9.0,23.0,16.0,0.485,Unconfined,2.66,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Mixed
17.7092,83.2072,2021.0,7.29,780.0,0.0,360.0,35.0,35.0,5.0,205.0,36.0,28.0,85.0,1.0,0.918,Confined,3.22,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
17.8139,82.8167,2021.0,7.3,950.0,0.0,464.0,35.0,29.0,3.0,305.0,54.0,41.0,78.0,1.0,0.817,Unconfined,1.28,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
17.7147,82.5906,2021.0,7.6,1630.0,0.0,366.0,142.0,281.0,30.0,560.0,64.0,97.0,98.0,30.0,0.982,Unconfined,0.48,Clayey,Clayey,Dug Well,Shallow,62679.08,Mixed
17.7014,82.4792,2021.0,7.32,850.0,0.0,476.0,11.0,18.0,4.0,275.0,56.0,33.0,69.0,5.0,1.0,Unconfined,0.3,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,27.1,93.69,2021.0,8.07,367.3,0.0,103.78,31.905,14.94,225.0,155.0,16.01,27.9,14.49,6.11,Confined,7.04,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,27.446084,96.10863,2021.0,7.88,114.7,0.0,73.26,3.545,2.09,225.0,75.0,6.0,14.56,1.3,0.31,Confined,7.62,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,27.414577,95.971986,2021.0,7.79,122.0,0.0,61.05,14.18,10.36,225.0,70.0,12.01,9.7,2.93,1.6,Confined,5.61,Others,Others,Bore Well,Shallow,187340.94,Mixed
24.122,27.97171,95.75741,2021.0,7.71,207.9,0.0,67.15,10.635,14.9,225.0,45.0,16.01,1.21,14.23,9.08,Unconfined,1.29,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,27.196588,95.462758,2021.0,7.49,146.4,0.0,42.73,17.725,13.67,225.0,65.0,8.01,10.92,6.82,3.49,Confined,0.08,Others,Others,Bore Well,Shallow,187340.94,Mixed
24.122,27.73948,95.909805,2021.0,7.39,47.35,0.0,54.94,10.635,3.05,225.0,30.0,10.01,1.21,15.91,2.06,Unconfined,1.17,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,27.115189,95.413139,2021.0,7.36,44.2,0.0,24.42,17.725,2.75,225.0,45.0,6.0,7.28,1.76,0.37,Confined,-0.36,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,27.125802,95.437686,2021.0,7.05,112.4,0.0,67.15,60.265,8.01,225.0,155.0,6.0,33.98,7.06,4.13,Unconfined,-0.5,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,26.2027778,93.10638889,2021.0,8.77,337.9,12.0,238.09,28.36,0.0,225.0,185.0,48.04,15.75,18.59,13.9,Unconfined,0.07,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,26.1880556,92.70277778,2021.0,8.76,505.4,9.0,231.99,77.99,45.24,225.0,205.0,46.04,21.82,48.6,22.74,Unconfined,-0.12,Loamy,Loamy,Dug Well,Shallow,41648.09,Mixed
24.122,26.2388889,91.73994444,2021.0,8.72,369.7,15.0,244.2,53.175,18.91,225.0,205.0,34.03,29.11,37.8,7.99,Unconfined,4.06,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,26.0225,93.38177778,2021.0,8.7,246.0,6.0,195.36,14.18,8.31,225.0,145.0,44.04,8.47,11.53,35.0,Unconfined,8.33,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
24.122,26.2027778,93.13333333,2021.0,8.7,249.1,6.0,140.41,28.36,10.54,225.0,120.0,32.03,9.69,27.62,3.9,Unconfined,1.01,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
24.122,25.758808,93.17457,2021.0,8.68,540.2,21.0,274.72,38.995,26.02,225.0,220.0,44.04,26.68,45.14,9.52,Unconfined,0.77,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,26.2083333,93.06555556,2021.0,8.68,197.8,12.0,152.62,10.635,7.66,225.0,110.0,36.03,4.84,25.42,5.06,Unconfined,6.31,Clayey,Clayey,Dug Well,Shallow,90920.97,Mixed
24.122,26.2497222,93.14638889,2021.0,8.66,474.3,15.0,293.03,49.63,9.72,225.0,140.0,26.02,18.19,65.7,38.15,Unconfined,4.42,Clayey,Clayey,Dug Well,Shallow,90920.97,Mixed
24.122,26.2481944,91.69025,2021.0,8.66,449.5,12.0,238.09,155.98,12.12,225.0,175.0,52.04,10.9,78.92,48.6,Unconfined,1.01,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,26.4019444,92.80916667,2021.0,8.64,728.1,21.0,445.66,88.625,21.69,225.0,330.0,56.04,46.09,48.68,50.93,Confined,11.23,Clayey,Clayey,Bore Well,Artesian,187340.94,Mixed
24.122,26.2952778,92.7925,2021.0,8.64,312.1,6.0,152.62,38.995,20.39,225.0,105.0,30.02,7.27,21.72,33.8,Confined,3.92,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,26.4411111,92.64,2021.0,8.62,286.6,12.0,177.04,24.815,11.56,225.0,130.0,36.03,9.69,24.92,10.78,Unconfined,4.63,Loamy,Loamy,Dug Well,Shallow,41648.09,Mixed
24.122,26.1216667,92.3508333,2021.0,8.59,214.5,3.0,91.57,24.815,11.13,225.0,120.0,28.02,12.12,2.41,8.44,Confined,8.01,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,26.1674444,91.57083333,2021.0,8.54,1143.0,18.0,543.33,145.35,4.8,225.0,430.0,72.06,60.64,95.88,72.54,Unconfined,1.73,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,26.1708333,93.13666667,2021.0,8.53,500.2,12.0,323.56,53.175,30.45,225.0,255.0,48.04,32.74,44.01,14.6,Unconfined,4.16,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,26.6069444,92.92916667,2021.0,8.49,410.4,15.0,280.82,28.36,21.19,225.0,225.0,52.04,23.03,28.68,11.09,Unconfined,2.85,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,25.9458333,91.11333333,2021.0,8.48,348.1,6.0,268.61,17.725,1.29,225.0,105.0,26.02,9.7,52.11,52.3,Unconfined,3.45,Others,Others,Dug Well,Shallow,187340.94,Mixed
24.122,25.9538889,93.48861111,2021.0,8.45,1058.0,6.0,659.33,138.255,19.41,225.0,255.0,32.03,42.46,176.72,43.8,Unconfined,2.76,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,90920.97,Others
24.122,26.1880556,92.73611111,2021.0,8.45,111.2,9.0,207.57,113.44,5.09,225.0,230.0,24.02,41.25,54.79,0.85,Unconfined,0.92,Loamy,Loamy,Dug Well,Shallow,187340.94,Mixed
24.122,26.4013889,92.46,2021.0,8.44,428.1,15.0,213.67,38.995,15.49,225.0,200.0,54.04,15.75,27.69,3.13,Unconfined,3.15,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
24.122,26.2630556,92.22361111,2021.0,8.44,468.9,21.0,360.19,17.725,0.0,225.0,270.0,92.07,9.66,9.2,28.08,Unconfined,8.66,Clayey,Clayey,Dug Well,Shallow,62679.08,Mixed
24.122,25.9069444,93.66138889,2021.0,8.43,670.8,9.0,231.99,109.895,13.0,225.0,250.0,50.04,30.32,85.72,7.57,Unconfined,6.75,Clayey,Clayey,Dug Well,Shallow,41648.09,Mixed
24.122,25.9652778,92.94361111,2021.0,8.42,493.5,9.0,195.36,24.815,16.53,225.0,150.0,44.04,9.69,27.13,7.04,Confined,7.08,Clayey,Clayey,Bore Well,Shallow,187340.94,Mixed
24.122,26.5672222,92.86222222,2021.0,8.42,545.7,21.0,335.77,46.085,20.85,225.0,270.0,66.05,25.45,26.83,21.19,Unconfined,1.61,Clayey,Clayey,Dug Well,Shallow,187340.94,Mixed
